"WAVE","FAMILLE","GENRE","TAXON_PROPOSE","TYPE","JUSTIFICATION","PRIORITE","PARENT_HUB","PHOTO_STATUS","SOURCE_STATUS","SEO_VALUE","GEO_VALUE","ENCYCLOPEDIA_VALUE","COMMERCIAL_RELEVANCE"
"P1","Araceae","Alocasia","Alocasia gageana","ESPECE","Espèce compacte populaire et distincte des treize fiches actuelles.","P1","/plantes/alocasia","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","MEDIUM","HIGH","HIGH"
"P1","Araceae","Alocasia","Alocasia lauterbachiana","ESPECE","Silhouette étroite originale, forte valeur de comparaison.","P1","/plantes/alocasia","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","HIGH","MEDIUM"
"P1","Araceae","Alocasia","Alocasia portei","ESPECE","Espèce de grande taille distincte des appellations horticoles Portodora.","P1","/plantes/alocasia","OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","MEDIUM","MEDIUM"
"P1","Urticaceae","Pilea","Pilea involucrata","ESPECE","Complète le hub Pilea avec une forme texturée très différente de P. peperomioides.","P1","/plantes/pilea","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","HIGH","MEDIUM"
"P2","Araceae","Philodendron","Philodendron pedatum","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Philodendron","Philodendron bipennifolium","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Philodendron","Philodendron tortum","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Philodendron","Philodendron camposportoanum","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Philodendron","Philodendron pastazanum","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Monstera","Monstera lechleriana","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/monstera","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Monstera","Monstera spruceana","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/monstera","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Anthurium","Anthurium vittariifolium","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/anthurium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Anthurium","Anthurium hookeri","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/anthurium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Anthurium","Anthurium scherzerianum","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/anthurium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Alocasia","Alocasia wentii","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/alocasia","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Alocasia","Alocasia sanderiana","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/alocasia","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Apocynaceae","Hoya","Hoya pubicalyx","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/hoya","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Moraceae","Ficus","Ficus lyrata","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/ficus","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Syngonium","Syngonium angustatum","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/syngonium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Asparagaceae","Dracaena","Dracaena angolensis","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/dracaena","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Piperaceae","Peperomia","Peperomia obtusifolia","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/peperomia","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Piperaceae","Peperomia","Peperomia caperata","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/peperomia","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Marantaceae","Goeppertia","Goeppertia makoyana","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/goeppertia","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Aspleniaceae","Asplenium","Asplenium nidus","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/asplenium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Polypodiaceae","Phlebodium","Phlebodium aureum","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/phlebodium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Cactaceae","Rhipsalis","Rhipsalis baccifera","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/rhipsalis","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Araceae","Epipremnum","Epipremnum pinnatum","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/epipremnum","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P2","Urticaceae","Pilea","Pilea glauca","ESPECE","Enrichissement botanique logique à documenter après la vague prioritaire.","P2","/plantes/pilea","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","MEDIUM","UNKNOWN"
"P3","Araceae","Philodendron","‘White Princess’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/philodendron","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Philodendron","‘White Knight’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/philodendron","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Philodendron","‘White Wizard’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/philodendron","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Philodendron","‘Florida Ghost’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/philodendron","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Philodendron","‘Florida Beauty’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/philodendron","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Philodendron","‘Ring of Fire’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/philodendron","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Philodendron","‘Paraiso Verde’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/philodendron","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Philodendron","Philodendron billietiae variegated selection","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/philodendron","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Anthurium","‘Silver Blush’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/anthurium","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Anthurium","‘Queen of Hearts’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/anthurium","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Anthurium","Anthurium luxurians × radicans","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/anthurium","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Monstera","Monstera adansonii variegated selection","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/monstera","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Monstera","Monstera adansonii ‘Mint’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/monstera","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Monstera","Monstera standleyana ‘Aurea’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/monstera","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Monstera","Monstera deliciosa ‘Aurea’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/monstera","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Alocasia","Alocasia reginula ‘Aurea’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/alocasia","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Alocasia","Alocasia reginula pink-variegated selection","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/alocasia","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Alocasia","Alocasia micholitziana variegated selection","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/alocasia","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Alocasia","‘Pink Dragon’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/alocasia","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
"P3","Araceae","Alocasia","‘Platinum’","CULTIVAR_OR_HYBRID","Longue traîne collector à ne publier qu’après vérification du statut horticole et d’un contenu distinctif.","P3","/plantes/alocasia","EXACT_OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","LOW","LOW","LOW","UNKNOWN"
